,Lineages,Lyapunov exponent mean,Lyapunov exponent std error,Normalised Lyapunov exponent std error,True Dynamics
0,0.0,0.001813277309881125,0.13559531615390727,1.873780460910287,chaos
1,1.0,-2.341259671771694,0.0560252641386859,-1.621065671710692,stable
2,2.0,0.015207264651030195,0.2154150964750918,1.1512250317517843,chaos
3,3.0,0.05858513323406462,0.1966974665878505,0.5260113444254687,chaos
4,4.0,-2.3556000305484694,0.05514078014149477,-1.630628644991511,stable
5,5.0,-2.327476881924903,0.05793897512532319,-1.6039145672087087,stable
6,6.0,-0.001075649388590607,0.23567343614511901,2.340639899220947,chaos
7,7.0,0.06116408189173206,0.13658755867697156,0.34891468154684435,chaos
8,8.0,-0.011482412552968321,0.20800820892751776,1.258047327859472,chaos
9,9.0,0.011739845407576473,0.21611259526445248,1.2650177006698098,chaos
10,10.0,-2.327447805554124,0.05673059302986009,-1.6130626269823967,stable
11,11.0,0.6024532267086717,0.681890102942127,0.05379105229267858,chaos
12,12.0,0.06994156535591863,0.20935266749644152,0.4761431508987393,chaos
13,13.0,0.07809078777134049,0.2419005404864333,0.4910370347552771,chaos
14,14.0,0.06481273279436146,0.18844849011299197,0.4635323285105238,chaos
15,15.0,-0.05678064907986741,0.23292160573090454,0.6130094226218681,chaos
16,16.0,-2.3290180037858805,0.06069222528079093,-1.5840397845408136,stable
17,17.0,-2.3368576400591636,0.049093198584285846,-1.6776109274995419,stable
18,18.0,-0.020161073101010906,0.12796650042255442,0.8025826488831453,chaos
19,19.0,-0.0020626385468391663,0.20601086361627802,1.9994669930822313,chaos
20,0.0,0.2353550992843856,0.14701899251570394,-0.20435017000532701,chaos
21,1.0,-0.03377390619879841,0.0346056666985877,0.010565927729345137,oscillations
22,2.0,-0.03619233421231783,0.036314440133761595,0.0014627592663225986,oscillations
23,3.0,-0.02596153977900035,0.030823483578621,0.07455127293022151,oscillations
24,4.0,-0.026725856909742544,0.029301383651117435,0.03995648994823786,oscillations
25,5.0,-0.014992048775311777,0.03371009855789354,0.35189903578056975,oscillations
26,6.0,-0.03444644364353738,0.03506540370140223,0.0077344525502013855,oscillations
27,7.0,-0.011201022413163382,0.03877340368615343,0.5392762605531598,oscillations
28,8.0,-0.02050339365261539,0.029228170865063602,0.15397588755991334,oscillations
29,9.0,-0.0487165507524616,0.034793180973111,-0.14618239561478025,oscillations
30,10.0,-0.016581823176377054,0.029191888661350286,0.24562991430222908,oscillations
31,11.0,-0.0014193570476484757,0.02926464025931138,1.3142515312995033,oscillations
32,12.0,0.05365073664463762,0.09617348549379523,0.2534796665478046,chaos
33,13.0,-0.007784738109464251,0.03668532434620156,0.6732483563413607,oscillations
34,14.0,-0.03152953429218744,0.04190473030261712,0.12354549385912465,oscillations
35,15.0,-0.01615386772853852,0.033828296201624856,0.3210036021719437,oscillations
36,16.0,-0.03592637779378238,0.032606538161945954,-0.042108740343802985,oscillations
37,17.0,-0.02190816072613791,0.029302164872466258,0.1262937892297692,oscillations
38,18.0,0.09060019734635444,0.11232071380009787,0.09333071108061795,chaos
39,19.0,0.01532334808711597,0.1009994398713073,0.8189652980704869,chaos
40,0.0,-2.5879472586984376,0.04461655124310381,-1.7634594240641752,stable
41,1.0,-2.5723993507440803,0.043344890487001304,-1.7734004812753223,stable
42,2.0,-2.525964325484948,0.047098687474860415,-1.7294184080931734,stable
43,3.0,-2.546575570241066,0.04570903744333964,-1.7459544926335988,stable
44,4.0,-2.535558339868538,0.04597712769803929,-1.7415317711868255,stable
45,5.0,-2.5454368044290443,0.04775642951310842,-1.7267304697628745,stable
46,6.0,-2.532255466850914,0.05097004272038744,-1.696192519807158,stable
47,7.0,-2.537779788865312,0.04485196548232916,-1.7526724550439978,stable
48,8.0,-2.5747524274682774,0.04391852013697519,-1.7680877784147837,stable
49,9.0,-3.73897640955325,0.03713029158601177,-2.0030243652788706,stable
50,10.0,-2.6164832509785425,0.04039070674839897,-1.811436506580917,stable
51,11.0,-2.5473545495634826,0.0475589595484445,-1.7288570508177232,stable
52,12.0,-2.564477473268968,0.044353754702963225,-1.7620684982193995,stable
53,13.0,-2.58642425365358,0.043493081574648026,-1.7742795847120658,stable
54,14.0,-2.5294401884012503,0.04623464122009757,-1.7380569225990992,stable
55,15.0,-2.5962240463695427,0.0408151211971323,-1.8035210776213544,stable
56,16.0,-2.5464413440175284,0.04129776780386444,-1.790007098745245,stable
57,17.0,-2.5696871341523893,0.04602262585328602,-1.7469088560918928,stable
58,18.0,-2.5298367544370812,0.04768355134170493,-1.7247239048685212,stable
59,19.0,-2.575061957005762,0.04368548779377113,-1.7704504933762615,stable
